filename,display_name,section,order,marker
surya-a/surya-a-01.png,SURYA NAMASKARA A,surya-a,1,01
surya-a/surya-a-02.png,SURYA NAMASKARA A,surya-a,2,02
surya-a/surya-a-03.png,SURYA NAMASKARA A,surya-a,3,03
surya-a/surya-a-04.png,SURYA NAMASKARA A,surya-a,4,04
surya-a/surya-a-05.png,SURYA NAMASKARA A,surya-a,5,05
surya-a/surya-a-06.png,SURYA NAMASKARA A,surya-a,6,06
surya-a/surya-a-07.png,SURYA NAMASKARA A,surya-a,7,07
surya-a/surya-a-08.png,SURYA NAMASKARA A,surya-a,8,08
surya-a/surya-a-09.png,SURYA NAMASKARA A,surya-a,9,09
surya-a/surya-a-10.png,SURYA NAMASKARA A,surya-a,10,10
surya-a/surya-a-11.png,SURYA NAMASKARA A,surya-a,11,11
surya-b/surya-b-01.png,SURYA NAMASKARA B,surya-b,1,01
surya-b/surya-b-02.png,SURYA NAMASKARA B,surya-b,2,02
surya-b/surya-b-03.png,SURYA NAMASKARA B,surya-b,3,03
surya-b/surya-b-04.png,SURYA NAMASKARA B,surya-b,4,04
surya-b/surya-b-05.png,SURYA NAMASKARA B,surya-b,5,05
surya-b/surya-b-06.png,SURYA NAMASKARA B,surya-b,6,06
surya-b/surya-b-07.png,SURYA NAMASKARA B,surya-b,7,07
surya-b/surya-b-08.png,SURYA NAMASKARA B,surya-b,8,08
surya-b/surya-b-09.png,SURYA NAMASKARA B,surya-b,9,09
surya-b/surya-b-10.png,SURYA NAMASKARA B,surya-b,10,10
surya-b/surya-b-11.png,SURYA NAMASKARA B,surya-b,11,11
surya-b/surya-b-12.png,SURYA NAMASKARA B,surya-b,12,12
surya-b/surya-b-13.png,SURYA NAMASKARA B,surya-b,13,13
surya-b/surya-b-14.png,SURYA NAMASKARA B,surya-b,14,14
surya-b/surya-b-15.png,SURYA NAMASKARA B,surya-b,15,15
surya-b/surya-b-16.png,SURYA NAMASKARA B,surya-b,16,16
surya-b/surya-b-17.png,SURYA NAMASKARA B,surya-b,17,17
surya-b/surya-b-18.png,SURYA NAMASKARA B,surya-b,18,18
surya-b/surya-b-19.png,SURYA NAMASKARA B,surya-b,19,19
standing/padangusthasana.png,PADANGUSTHASANA,standing,1,
standing/padahastasana.png,PADAHASTASANA,standing,2,
standing/trikonasana-01.png,TRIKONASANA,standing,3,01
standing/trikonasana-02.png,TRIKONASANA,standing,4,02
standing/parsvakonasana-01.png,PARSVAKONASANA,standing,5,01
standing/parsvakonasana-02.png,PARSVAKONASANA,standing,6,02
standing/prasarita-padottanasana-a.png,PRASARITA PADHOTTANASANA,standing,7,A
standing/prasarita-padottanasana-b.png,PRASARITA PADHOTTANASANA,standing,8,B
standing/prasarita-padottanasana-c.png,PRASARITA PADHOTTANASANA,standing,9,C
standing/prasarita-padottanasana-d.png,PRASARITA PADHOTTANASANA,standing,10,D
standing/parsvottanasana.png,PARSVOTTANASANA,standing,11,
standing/utthita-hasta-padangusthasana-01.png,UTTHITA HASTA PADANGUSTHASANA,standing,12,01
standing/utthita-hasta-padangusthasana-02.png,UTTHITA HASTA PADANGUSTHASANA,standing,13,02
standing/utthita-hasta-padangusthasana-03.png,UTTHITA HASTA PADANGUSTHASANA,standing,14,03
standing/ardha-baddha-padmottanasana.png,ARDHA BADDHA PADMOTTANASANA,standing,15,
standing/utkatasana.png,UTKATASANA,standing,16,
standing/virabhadrasana-1.png,VIRABADRASANA,standing,17,1
standing/virabhadrasana-2.png,VIRABADRASANA,standing,18,2
seated/dandasana.png,DANDASANA,seated,1,
seated/paschimottanasana-a.png,PASCHIMOTTANASANA,seated,2,A
seated/paschimottanasana-b.png,PASCHIMOTTANASANA,seated,3,B
seated/paschimottanasana-c.png,PASCHIMOTTANASANA,seated,4,C
seated/purvottanasana.png,PURVOTTANASANA,seated,5,
seated/ardha-baddha-padma-paschimottanasana.png,ARDHA BADDHA PADMA PASCHIMOTTANASANA,seated,6,
seated/triang-mukha-eka-pada-paschimottanasana.png,TRIANG MUKHA EKA PADA PASCHIMOTTANASANA,seated,7,
seated/janu-sirsasana-a.png,JANU SIRSASANA,seated,8,A
seated/janu-sirsasana-b.png,JANU SIRSASANA,seated,9,B
seated/janu-sirsasana-c.png,JANU SIRSASANA,seated,10,C
seated/marichyasana-a.png,MARICHYASANA,seated,11,A
seated/marichyasana-b.png,MARICHYASANA,seated,12,B
